"","loc","publication_name","language","publication_date","title","keywords","image_loc"
"1","https://www.tio.ch/dal-mondo/attualita/1715231/concluso-un-nuovo-scambio-ostaggi-prigionieri-palestinesi","20minuti","it","2023-11-26T10:26+01:00","Concluso un nuovo scambio ostaggi-prigionieri palestinesi","nuovo,nuovo scambio,scambio,concluso,qatar,mediazione,israele,egitto,domenica,tregua",NA
"2","https://www.tio.ch/ticino/attualita/1715271/galleria-del-gottardo-chiusa-in-entrambe-le-direzioni-per-un-veicolo-in-avaria","20minuti","it","2023-11-26T10:14+01:00","Galleria del Gottardo chiusa in entrambe le direzioni per un veicolo in avaria","gottardo,veicolo,galleria,chiusa,direzioni,avaria,airolo,entrambe direzioni,veicolo avaria,galleria gottardo",NA
"3","https://www.tio.ch/sport/hockey/1715266/ginocchio-uso-almond-egl-losanna","20minuti","it","2023-11-26T09:49+01:00","Uso scorretto del ginocchio: Egli e Almond fermati","egl,almond,uso scorretto,ginocchio,uso,losanna,scorretto ginocchio,uso scorretto ginocchio,davos,seguito",NA
"4","https://www.tio.ch/svizzera/attualita/1715263/chiasso-non-e-lampedusa","20minuti","it","2023-11-26T09:23+01:00","«Chiasso non è Lampedusa»","chiasso,giustizia elisabeth,baume-schneider,elisabeth,lampedusa,giustizia,ministro,elisabeth baume,am,baume",NA
"5","https://www.tio.ch/ticino/cronaca/1715259/incendio-due-stato-ospedale-adibito","20minuti","it","2023-11-26T09:07+01:00","L'incendio è stato domato, due persone in ospedale","due,stato,ospedale,incendio,due persone,industriale adibito,stabile industriale adibito,stabile industriale,preso avvio,adibito",NA
"6","https://www.tio.ch/people/people/1715255/eleonora-giorgi-ha-un-tumore-al-pancreas","20minuti","it","2023-11-26T09:00+01:00","Eleonora Giorgi ha un tumore al pancreas","giorgi,eleonora,eleonora giorgi,tumore,pancreas,italia,attrice,dovrà,dobbiamo,tumore pancreas",NA
"7","https://www.tio.ch/rubriche/fashionchannel/1714961/arriva-in-svizzera-hya-thread-lift-facial-volume-technique","20minuti","it","2023-11-26T09:00+01:00","Arriva in Svizzera HYA -THREAD LIFT FACIAL VOLUME TECHNIQUE","svizzera,thread,hya,volume,master,lift,facial,andrea nunes,lift facial,thread lift",NA
"8","https://www.tio.ch/svizzera/attualita/1715253/danni-condominio-incendio-casa-vigili","20minuti","it","2023-11-26T08:45+01:00","Condominio in fiamme, tutti salvi ma ingenti danni","condominio,danni,zurigo,pompieri,incendio,casa,birmensdorf,migliaia franchi,migliaia,franchi",NA
"9","https://www.tio.ch/dal-mondo/cronaca/1715252/maxi-operazione-antidroga-piu-di-700-arresti","20minuti","it","2023-11-26T08:34+01:00","Maxi operazione antidroga: più di 700 arresti","operazione,maxi operazione,stati,cile,sequestrati,chili,stati sequestrati,arresto,polizia,droga",NA
"10","https://www.tio.ch/rubriche/ospite/1715251/iniziativa-liberali-pensioni-avs-futuro","20minuti","it","2023-11-26T08:30+01:00","Per un'AVS con un futuro: i Giovani Liberali Radicali svizzeri dicono SÌ all'iniziativa sulle pensioni!","pensioni,avs,liberali,liberali radicali,iniziativa,futuro,giovani liberali,radicali svizzeri,liberali radicali svizzeri,giovani liberali radicali",NA
