"","loc","publication_name","language","publication_date","title","keywords","image_loc"
"1","https://www.tio.ch/dal-mondo/attualita/1715053/la-tregua-regge-liberati-i-primi-tredici-ostaggi","20minuti","it","2023-11-25T09:01+01:00","La tregua regge, liberati i primi tredici ostaggi","israele,ostaggi,liberati,tregua,gaza,cisgiordania,hamas,tel,aviv,palestina",NA
"2","https://www.tio.ch/rubriche/fashionchannel/1714390/un-viaggio-artistico-ribana-szutor-presenta-tracce","20minuti","it","2023-11-25T09:00+01:00","Un viaggio artistico: Ribana Szutor presenta “Tracce”","szutor,ribana,ribana szutor,tracce,artista,opere,viaggio,arte,giussano,galleria",NA
"3","https://www.tio.ch/svizzera/cronaca/1715096/fiamme-devastano-un-appartamento","20minuti","it","2023-11-25T08:56+01:00","Fiamme devastano un appartamento","appartamento,incendio,zofingen,nove persone,sera,venerdì,nove,argovia,condominio,venerdì sera",NA
"4","https://www.tio.ch/dal-mondo/cronaca/1715099/stato-senzatetto-california-jogger-settembre","20minuti","it","2023-11-25T08:46+01:00","Jogger si filma mentre uccide un senzatetto in California","california,jogger,senzatetto,stato,rivelato solo ora,solo ora,stato rivelato solo,fatto risale,settembre,risale",NA
"5","https://www.tio.ch/dal-mondo/cronaca/1715097/accoltellato-in-carcere-l-agente-che-uccise-george-floyd","20minuti","it","2023-11-25T08:31+01:00","Accoltellato in carcere l'agente che uccise George Floyd","george,carcere,george floyd,floyd,agente,accoltellato,anni,derek chauvin,derek,chauvin",NA
"6","https://www.tio.ch/dal-mondo/cronaca/1715095/notte-attacco-kiev-ucraina-inizio-guerra","20minuti","it","2023-11-25T08:15+01:00","Nella notte «il più potente attacco su Kiev» dall'inizio della guerra","notte,inizio,attacco,guerra,kiev,ucraina,contraerea,bersagli aerei,bersagli,distrutto",NA
"7","https://www.tio.ch/svizzera/cronaca/1715094/visita-ucraina-presidente-berset-sorpresa","20minuti","it","2023-11-25T08:09+01:00","Visita a sorpresa di Berset a Kiev","sorpresa,berset,visita,ucraina,presidente,grano,confederazione,kiev,zelensky,volodymyr zelensky",NA
"8","https://www.tio.ch/rubriche/mobilita/1713876/su7-auto-xiaomi-cinese-colosso","20minuti","it","2023-11-25T08:01+01:00","SU7, la via di Xiaomi all’auto elettrica","su7,auto elettrica,auto,xiaomi,cinese,colosso,colosso tecnologico,vettura,immagini,informazioni",NA
"9","https://www.tio.ch/rubriche/ospite/1715064/la-lotta-alle-violenze-sulle-donne-e-una-priorita","20minuti","it","2023-11-25T08:00+01:00","La lotta alle violenze sulle donne è una priorità","violenza,lotta,carola,violenze,donne,carola barchi,barchi,vittime,essere,vittime violenza",NA
"10","https://www.tio.ch/sport/calcio/1715044/balotelli-stufo-sembrava-passato-di-moda-raccontare-caz-te-cosi","20minuti","it","2023-11-25T08:00+01:00","Balotelli stufo: «Sembrava passato di moda raccontare caz**te così»","te così,raccontare caz,incidente,sembrava,passato,moda,moda raccontare caz,balotelli,caz,moda raccontare",NA
