"","loc","publication_name","language","publication_date","title","keywords","image_loc"
"1","https://www.tio.ch/svizzera/cronaca/1714956/il-fuggitivo-di-ittigen-catturato-in-ungheria","20minuti","it","2023-11-24T15:41+01:00","Il fuggitivo di Ittigen catturato in Ungheria","catturato,ungheria,fuggitivo,ittigen,stato,novembre,attesa,stato arrestato,trova,venerdì",NA
"2","https://www.tio.ch/dal-mondo/cronaca/1714964/il-caso-pasolini-resta-chiuso","20minuti","it","2023-11-24T15:35+01:00","Il caso Pasolini resta chiuso","procura,omicidio,pasolini,elementi,novembre,regista,roma,pier paolo pasolini,italia,stato",NA
"3","https://www.tio.ch/ticino/attualita/1714953/1-95-milioni-per-i-parchi-gioco-di-lugano","20minuti","it","2023-11-24T15:20+01:00","1,95 milioni per i parchi gioco di Lugano","lugano,progettazione,manutenzione,gioco,parchi gioco,interventi,municipio,credito,giochi,via",NA
"4","https://www.tio.ch/aziende-ticinesi-informano/1714759/flyback-manero-quadrante-cinturino-acciaio","20minuti","it","2023-11-24T15:02+01:00","I contrasti metropolitani secondo Carl F. Bucherer: dal lavoro al tempo libero","carl,flyback,flyback,manero flyback,bucherer,manero,tempo libero,lavoro,tempo,libero",NA
"5","https://www.tio.ch/ticino/cronaca/1714941/crolla-un-impalcatura-e-travolge-cinque-auto","20minuti","it","2023-11-24T14:47+01:00","Crolla un'impalcatura e travolge cinque auto","impalcatura,cinque,contano,contano feriti,viale olgiati,olgiati,danni,viale,feriti,bellinzona",NA
"6","https://www.tio.ch/svizzera/attualita/1712073/quali-sono-le-tue-speranze-per-il-2024","20minuti","it","2023-11-24T14:43+01:00","Quali sono le tue speranze per il 2024?","sondaggio,quali,speranze,aspettative,quali speranze,aspettative anno,svizzera,barometro,anno nuovo 2024",NA
"7","https://www.tio.ch/newsblog/health-fitness-wellness/1714928/cos-e-e-come-funziona-i-shape-come-funziona-l-elettrostimolazione","20minuti","it","2023-11-24T14:40+01:00","Cos’è e come funziona I-SHAPE? Come funziona l’elettrostimolazione?","può,essere,medico,risultati,allenamento,funziona,sessione,ems,i-shape,elettrostimolazione",NA
"8","https://www.tio.ch/ticino/cronaca/1714937/15enne-mendrisio","20minuti","it","2023-11-24T14:29+01:00","15enne ritrovato, sta bene","mendrisio,15enne,bene dopo,scomparso",NA
"9","https://www.tio.ch/dal-mondo/cronaca/1714844/32-persone-in-tribunale-per-i-disordini-di-ieri-a-dublino","20minuti","it","2023-11-24T14:24+01:00","32 persone in tribunale per i disordini di ieri a Dublino","dublino,devono rispondere,parte giovani,larga parte giovani,larga parte,quattro donne,danneggiamenti,vario titolo,furti,devono",NA
"10","https://www.tio.ch/ticino/attualita/1714933/stato-bertoli-leimgruber-presidente-ticinese-federale-migrazione-commissione-manuele-nuovo","20minuti","it","2023-11-24T14:22+01:00","Manuele Bertoli nuovo presidente della Commissione federale della migrazione","manuele,commissione federale,federale,walter leimgruber,leimgruber,migrazione,nuovo,ticinese,commissione,bertoli",NA
