"","loc","publication_name","language","publication_date","title","keywords"
"86","https://www.tio.ch/dal-mondo/cronaca/1710071/israele","Ticinonline","it","2023-11-05T08:30+01:00","Le forze israeliane: «Ora c'è Gaza nord e Gaza sud»","sud,forze,gaza,hagari,daniel hagari,israele,daniel,striscia,cisgiordania,hamas"
"87","https://www.tio.ch/dal-mondo/cronaca/1710131/polizia-aeroporto-amburgo-bloccato-aereo","Ticinonline","it","2023-11-05T08:19+01:00","Rapisce la figlia, bloccato l'aeroporto di Amburgo","amburgo,aeroporto,bloccato,polizia,aereo,traffico,sospeso fino,sospeso,annunciato,operazione"
"88","https://www.tio.ch/svizzera/cronaca/1710008/friburgo-illegale-stato-targhe-fare","Ticinonline","it","2023-11-05T08:13+01:00","Aveva un trucco per parcheggiare gratuitamente, ma era illegale","illegale,friburgo,stato,targhe,fare,canton,voleva,condannato,canton friburgo,falsificazione"
"89","https://www.tio.ch/sport/calcio/1710124/ansia-per-pavard-gli-e-uscita-la-rotula","Ticinonline","it","2023-11-05T08:00+01:00","Ansia per Pavard: «Gli è uscita la rotula»","uscita,rotula,pavard,infortunio,simone,difensore francese,francese,difensore,serie,serata"
"90","https://www.tio.ch/aziende-ticinesi-informano/1709952/centro-natura-tenero-legno-percorsi","Ticinonline","it","2023-11-05T06:35+01:00","Un tuffo nella natura al Centro Commerciale, un po' di BoBosco a Tenero","bobosco,tenero,centro,natura,centro commerciale,green,into,offre,evento,percorsi"
"91","https://www.tio.ch/sport/calcio/1710113/sconfitta-amara-per-il-milan","Ticinonline","it","2023-11-04T22:52+01:00","Sconfitta amara per il Milan","milan,udinese,serie,rossoneri,inter,udinese,pereyra"
"92","https://www.tio.ch/sport/hockey/1710101/league-national-ambri-davos-hcap","Ticinonline","it","2023-11-04T22:08+01:00","Cinismo e maturità, l’Ambrì si muove da grande","biancoblù,ambrì,pestoni,stato,casa,successo,hcap,conz,fohrler,continuato"
"93","https://www.tio.ch/sport/hockey/1710106/lugano-luca-hcl-gianinazzi","Ticinonline","it","2023-11-04T21:54+01:00","Kloten battuto, il Lugano torna al successo","lugano,kloten,luca,morini,gianinazzi,luca gianinazzi,müller,ambrì,hcl,mirco"
"94","https://www.tio.ch/svizzera/attualita/1710103/zurigo-strada-affitti-costo-alloggi","Ticinonline","it","2023-11-04T20:57+01:00","Caro affitti, Zurigo scende in strada","zurigo,strada,affitti,costo,alloggi,pomeriggio,centinaia,centinaia persone,keystone-ats,limmat"
"95","https://www.tio.ch/sport/motori/1710119/formula-verstappen-perez-vince-norris","Ticinonline","it","2023-11-04T20:48+01:00","Vince sempre lui: Verstappen sul gradino più alto del podio","formula,verstappen,norris,perez,vince,gara,gara sprint,sprint formula,lando,due"
"96","https://www.tio.ch/sport/hockey/1710094/league-swiss-bellinzona-rockets-martigny","Ticinonline","it","2023-11-04T20:27+01:00","Bellinzona Rockets infilzati dall’HCV Martigny","hcv,bellinzona,rockets,hcv martigny,martigny,bellinzona rockets,ticinesi,swiss,swiss league,league"
"97","https://www.tio.ch/sport/calcio/1710087/lugano-losanna-canton-vaud-fcl","Ticinonline","it","2023-11-04T19:58+01:00","Lugano ko: nel Canton Vaud sorride il Losanna","lugano,losanna,vaud,canton vaud,canton,crus,sabbatini,winterthur,fcl,casa"
"98","https://www.tio.ch/sport/calcio/1710089/inter","Ticinonline","it","2023-11-04T19:49+01:00","Ancora un sigillo per l'Inter","inter,atalanta,serie,segnature,juventus milan,raspaori,raspaori elmas,atalanta,elmas,lautaro"
"99","https://www.tio.ch/sport/altri-sport/1710088/massagno-nuovamente-vittorioso","Ticinonline","it","2023-11-04T19:34+01:00","Massagno nuovamente vittorioso","massagno,monthey,casa,monthey 82-72,campo,punti,classifica,sbl,ginevra vevey,elfic"
