"","loc","publication_name","language","publication_date","title","keywords","image_loc"
"1","https://www.20min.ch/story/das-sind-die-beliebtesten-reiseziele-der-schweiz-fuer-2024-434127818034","20minuten","de","2023-11-17T05:00:00+01:00","Das sind die beliebtesten Reiseziele der Schweiz für 2024",NA,"https://cdn.unitycms.io/images/DC82V4m0Ktc9-QPNvztxSA.jpg?op=ocroped&val=1200,1200,1000,738,262,0&sum=AE1WtbS0JQI"
"2","https://www.20min.ch/story/familienvater-aus-kerns-para-athlet-sucht-spenden-fuer-teambus-985109848781","20minuten","de","2023-11-17T04:52:26+01:00","Familienvater aus Kerns: Para-Athlet sucht Spenden für Teambus",NA,"https://cdn.unitycms.io/images/7J89xtVH4AwAioEWUqsSG5.png?op=ocroped&val=1200,1200,1000,1000,0,0&sum=MA9PiRQ1NE0"
"3","https://www.20min.ch/story/basel-ist-das-handy-wirklich-so-wichtig-826132222949","20minuten","de","2023-11-17T04:52:00+01:00","Basel : «Ist das Handy wirklich so wichtig?» ",NA,"https://cdn.unitycms.io/images/E51NXTVGq8TAWbxQD1Yg5W.jpg?op=ocroped&val=1200,1200,853,821,179,147&sum=oxlDaxRf8_s"
"4","https://www.20min.ch/story/wil-luxusuhren-bei-auktion-versteigert-657781549682","20minuten","de","2023-11-17T04:51:21+01:00","Wil: Luxusuhren bei Auktion versteigert",NA,"https://cdn.unitycms.io/images/8F9PRYXFKwO9W9os4iPG3x.jpg?op=ocroped&val=1200,1200,1000,1000,0,0&sum=FTDAWW3I3B0"
"5","https://www.20min.ch/story/asthma-kann-durch-spruehreiniger-ausgeloest-werden-989517019588","20minuten","de","2023-11-17T04:51:01+01:00","Asthma kann durch Sprühreiniger ausgelöst werden",NA,"https://cdn.unitycms.io/images/2X5_nazA4NzBhFhnV2EuRV.jpg?op=ocroped&val=1200,1200,1000,465,318,0&sum=fePWjTzNcH8"
"6","https://www.20min.ch/story/shirin-david-background-saengerin-anny-packt-ueber-tour-aus-387679922061","20minuten","de","2023-11-17T04:49:40+01:00","Shirin David: Background-Sängerin Anny packt über Tour aus",NA,"https://cdn.unitycms.io/images/7iADNxE5qAJBGDUlSkppko.jpg?op=ocroped&val=1200,1200,1000,1000,0,0&sum=q-xEsVjaq58"
"7","https://www.20min.ch/story/kosovo-verteidiger-hadergjonaj-in-der-schweiz-wurde-die-gruppe-unterschaetzt-263706138527","20minuten","de","2023-11-17T04:49:21+01:00","Kosovo-Verteidiger Hadergjonaj: «In der Schweiz wurde die Gruppe unterschätzt»",NA,"https://cdn.unitycms.io/images/7SWtCrFt4178Y2ZpMR6-uu.jpg?op=ocroped&val=1200,1200,831,717,32,130&sum=EjXaRf_ONm4"
"8","https://www.20min.ch/story/gibt-es-ein-13-sternzeichen-490392226696","20minuten","de","2023-11-17T04:49:05+01:00","Gibt es ein 13. Sternzeichen?",NA,"https://cdn.unitycms.io/images/181sX6AwKuzAFyCHcvRP5V.jpg?op=ocroped&val=1200,1200,1000,1000,0,0&sum=U_xUNPOk2TM"
"9","https://www.20min.ch/story/hohe-strafen-eine-spuck-busse-von-200-franken-ist-reine-geldmacherei-719841991213","20minuten","de","2023-11-17T04:48:44+01:00","Hohe Strafen: «Eine Spuck-Busse von 200 Franken ist reine Geldmacherei»",NA,"https://cdn.unitycms.io/images/2er4Kwf6K0gBszO0dPj0Dh.jpg?op=ocroped&val=1200,1200,1000,1000,0,0&sum=9t8p41QA1bo"
"10","https://www.20min.ch/story/hoechste-alarmstufe-sorge-um-schiefen-garisenda-turm-in-bologna-468131967769","20minuten","de","2023-11-17T04:41:36+01:00","«Höchste Alarmstufe»: Sorge um schiefen Garisenda-Turm in Bologna",NA,"https://cdn.unitycms.io/images/4uHQX1FJq8L9sObzFO7kLw.jpg?op=ocroped&val=1200,1200,1000,1000,0,0&sum=ngOG9n8sCKw"
"11","https://www.20min.ch/story/nahost-haus-von-hamas-chef-hanija-angegriffen-566174374995","20minuten","de","2023-11-17T04:12:06+01:00","Nahostkonflikt: Paul Kessler getötet – Festnahme",NA,"https://cdn.unitycms.io/images/7CoHLVUmKecBEiB-9iShgS.jpg?op=ocroped&val=1200,1200,811,697,0,0&sum=cyYbr-z8Cd8"
"12","https://www.20min.ch/story/wetter-schweiz-gefahrenstufe-starkregen-bund-ueberschwemmung-hochwasser-773827943300","20minuten","de","2023-11-17T04:08:01+01:00","Wetter Schweiz: Orkanböen fegen über die Schweiz",NA,"https://cdn.unitycms.io/images/06_TFjXrKPzAcLqHtRzZLI.png?op=ocroped&val=1200,1200,1000,687,235,0&sum=mkOVyZye4Gw"
"13","https://www.20min.ch/story/us-rapper-saengerin-cassie-verklagt-sean-diddy-combs-wegen-vergewaltigung-383948156381","20minuten","de","2023-11-17T03:37:54+01:00","Sängerin Cassie verklagt Rapper Sean «Diddy» Combs wegen Vergewaltigung",NA,"https://cdn.unitycms.io/images/5MaVkK5UaHb9CassWkThvd.jpg?op=ocroped&val=1200,1200,1000,1000,0,0&sum=L_G3cz9CF88"
"14","https://www.20min.ch/story/the-voice-star-saengerin-tiziana-gulino-und-ihre-frau-erwarten-ein-kind-459998062989","20minuten","de","2023-11-17T02:25:06+01:00","«The Voice»-Star: Sängerin Tiziana Gulino und ihre Frau erwarten ein Kind",NA,"https://cdn.unitycms.io/images/Dza8w0C34MyA289u_FLNLp.png?op=ocroped&val=1200,1200,1000,1000,0,0&sum=d61qvax0I80"
"15","https://www.20min.ch/story/atp-finals-novak-djokovic-tennis-667980535040","20minuten","de","2023-11-16T23:44:14+01:00","ATP Finals: Stefanos Tsitsipas gibt gegen Holger Rune auf",NA,"https://cdn.unitycms.io/images/DJ4UuCHhKR1AEnxSioOuIy.jpg?op=ocroped&val=1200,1200,1000,1000,0,0&sum=D4vlR2RflUw"
"16","https://www.20min.ch/story/snoop-dogg-kuendigt-an-nicht-mehr-rauchen-zu-wollen-755384470262","20minuten","de","2023-11-16T23:00:26+01:00","Snoop Dogg kündigt an, nicht mehr rauchen zu wollen",NA,"https://cdn.unitycms.io/images/E2kAVo_FKu39jlOqKxPtw4.jpg?op=ocroped&val=1200,1200,1000,429,38,0&sum=GA0Js3KSVgQ"
"17","https://www.20min.ch/story/sfv-nati-skandal-frauenteam-437491428612","20minuten","de","2023-11-16T22:32:42+01:00","Frauen-Nati: Gefeuerter SFV-Mitarbeiter wehrt sich",NA,"https://cdn.unitycms.io/images/80AyXYZKqz6BfX5puAGS4O.jpg?op=ocroped&val=1200,1200,1000,1000,0,0&sum=06a0VTtItc0"
