Country,Count,CountryName,CapitalName,ContinentName,OtherNames,Coordinates,Latitude,Longitude,ISO2,Name
guatemala,2,guatemala,guatemala-stadt,amerika/mittelamerika,,"(14.64072, -90.51327)",14.64072,-90.51327,GT,guatemala
palastina,2,palastina,ostjerusalem,,['westjordanland und gazastreifen'],"(31.898811, 35.195414)",31.898811,35.195414,PS,palastina
palastina,2,palastina,ramallah,,['westjordanland und gazastreifen'],"(31.898811, 35.195414)",31.898811,35.195414,PS,palastina
nepal,2,nepal,kathmandu,asien,,"(27.70169, 85.3206)",27.70169,85.3206,NP,nepal
agypten,2,agypten,kairo,afrika,,"(30.079694, 31.323437)",30.079694,31.323437,EG,agypten
sri lanka,2,sri lanka,colombo,asien,,"(6.934744, 79.842725)",6.934744,79.842725,LK,sri lanka
ghana,2,ghana,accra,afrika,,"(5.545935, -0.210089)",5.545935,-0.210089,GH,ghana
singapur,2,singapur,singapur,asien,,"(1.366923, 103.801292)",1.366923,103.801292,SG,singapur
libyen,2,libyen,tripolis,afrika,,"(32.8925, 13.180012)",32.8925,13.180012,LY,libyen
irak,2,irak,bagdad,asien,,"(33.340336, 44.329214)",33.340336,44.329214,IQ,irak
ruanda,2,ruanda,kigali,afrika,,"(-1.947466, 30.059795)",-1.947466,30.059795,RW,ruanda
liechtenstein,2,liechtenstein,vaduz,europa,,"(47.167938, 9.512335)",47.167938,9.512335,LI,liechtenstein
kuba,2,kuba,havanna,amerika/westindien,,"(23.13302, -82.38304)",23.13302,-82.38304,CU,kuba
monaco,2,monaco,monaco,europa,,"(43.733783, 7.418464)",43.733783,7.418464,MC,monaco
kasachstan,2,kasachstan,astana,asien,,"(51.189242, 71.43209)",51.189242,71.43209,KZ,kasachstan
andorra,2,andorra,andorra la vella,europa,,"(42.504294, 1.518714)",42.504294,1.518714,AD,andorra
chile,2,chile,santiago de chile,amerika/sudamerika,,"(-33.428532, -70.630133)",-33.428532,-70.630133,CL,chile
mazedonien,2,mazedonien,skopje,europa,['nordmazedonien'],"(42.00122, 21.42878)",42.00122,21.42878,MK,mazedonien
vietnam,2,vietnam,hanoi,asien,,"(21.0245, 105.84117)",21.0245,105.84117,VN,vietnam
finnland,2,finnland,helsinki,europa,,"(60.20787, 24.99935)",60.20787,24.99935,FI,finnland
tunesien,1,tunesien,tunis,afrika,,"(33.687264, 9.007775)",33.687264,9.007775,TN,tunesien
saudi-arabien,1,saudi-arabien,riad,asien,,"(24.664126, 46.814232)",24.664126,46.814232,SA,
venezuela,1,venezuela,caracas,amerika/sudamerika,,"(10.505146, -66.917878)",10.505146,-66.917878,VE,venezuela
tuvalu,1,tuvalu,funafuti,australien und ozeanien,,"(-8.4379, 179.17031)",-8.4379,179.17031,TV,tuvalu
athiopien,1,athiopien,addis abeba,afrika,,"(9.018947, 38.746032)",9.018947,38.746032,ET,athiopien
oman,1,oman,maskat,asien,,"(23.611705, 58.492641)",23.611705,58.492641,OM,oman
madagaskar,1,madagaskar,antananarivo,afrika,,"(-18.902964, 47.522391)",-18.902964,47.522391,MG,madagaskar
peru,1,peru,lima,amerika/sudamerika,,"(-12.049141, -77.021217)",-12.049141,-77.021217,PE,peru
sierra leone,1,sierra leone,freetown,afrika,,"(8.489846, -13.232287)",8.489846,-13.232287,SL,sierra leone
aserbaidschan,1,aserbaidschan,baku,asien,,"(40.378395, 49.840288)",40.378395,49.840288,AZ,aserbaidschan
slowakei,1,slowakei,bratislava (pressburg),europa,,"(48.165064, 17.145673)",48.165064,17.145673,SK,slowakei
armenien,1,armenien,jerewan,asien,,"(40.155704, 44.524938)",40.155704,44.524938,AM,armenien
bosnien und herzegowina,1,bosnien und herzegowina,sarajevo,europa,,"(43.84864, 18.35644)",43.84864,18.35644,BA,
panama,1,panama,panama-stadt,amerika/mittelamerika,,"(8.9936, -79.51973)",8.9936,-79.51973,PA,panama
marokko,1,marokko,rabat,afrika,,"(33.970785, -6.842736)",33.970785,-6.842736,MA,marokko
san marino,1,san marino,san marino,europa,,"(43.936245, 12.447407)",43.936245,12.447407,SM,san marino
seychellen,1,seychellen,victoria,afrika,,"(22.381131, 114.135572)",22.381131,114.135572,SC,seychellen
mosambik,1,mosambik,maputo,afrika,,"(-25.96553, 32.58322)",-25.96553,32.58322,MZ,
sudan,1,sudan,khartum,afrika,,"(15.55177, 32.53241)",15.55177,32.53241,SD,sudan
vereinigte arabische emirate,1,vereinigte arabische emirate,abu dhabi,asien,,"(24.365909, 54.582942)",24.365909,54.582942,AE,vereinigte arabische emirate
malediven,1,malediven,male,asien,,"(35.888972, 14.431432)",35.888972,14.431432,MV,malediven
costa rica,1,costa rica,san jose,amerika/mittelamerika,,"(37.354559, -121.883844)",37.354559,-121.883844,CR,costa rica
lettland,1,lettland,riga,europa,,"(56.971149, 24.142749)",56.971149,24.142749,LV,lettland
rumanien,1,rumanien,bukarest,europa,,"(44.435842, 26.085733)",44.435842,26.085733,RO,rumanien
liberia,1,liberia,monrovia,afrika,,"(6.31459, -10.802055)",6.31459,-10.802055,LR,liberia
somalia,1,somalia,mogadischu,afrika,,"(2.03711, 45.34375)",2.03711,45.34375,SO,somalia
demokratische republik kongo,1,demokratische republik kongo,kinshasa,afrika,,"(-4.32142, 15.30807)",-4.32142,15.30807,CD,demokratische republik kongo
