Ville,Coordinates,Latitude,Longitude
muttenz,"(47.523393, 7.648065)",47.523393,7.648065
monthey,"(46.25555, 6.954767)",46.25555,6.954767
ostermundigen,"(46.95644, 7.493798)",46.95644,7.493798
granges,"(47.192182, 7.39216)",47.192182,7.39216
illnau-effretikon,"(47.423201, 8.72281)",47.423201,8.72281
wallisellen,"(47.41499, 8.59672)",47.41499,8.59672
cham,"(49.221966, 12.662355)",49.221966,12.662355
wohlen,"(47.348103, 8.272992)",47.348103,8.272992
sierre,"(46.299285, 7.532625)",46.299285,7.532625
soleure,"(47.2081, 7.5163)",47.2081,7.5163
pratteln,"(47.518095, 7.689088)",47.518095,7.689088
berthoud,"(52.143747, 10.216521)",52.143747,10.216521
freienbach,"(47.206298, 8.757769)",47.206298,8.757769
einsiedeln,"(47.129714, 8.745461)",47.129714,8.745461
morges,"(46.509694, 6.498445)",46.509694,6.498445
steffisburg,"(46.781548, 7.634219)",46.781548,7.634219
langenthal,"(47.216704, 7.782631)",47.216704,7.782631
binningen,"(47.536714, 7.567581)",47.536714,7.567581
lyss,"(47.073977, 7.306518)",47.073977,7.306518
locarno,"(46.170928, 8.803606)",46.170928,8.803606
herisau,"(47.390936, 9.279804)",47.390936,9.279804
schwytz,"(46.730219, 7.509687)",46.730219,7.509687
arbon,"(47.514603, 9.432618)",47.514603,9.432618
mendrisio,"(45.870804, 8.979285)",45.870804,8.979285
kusnacht,"(47.31805, 8.58401)",47.31805,8.58401
stafa,"(47.240681, 8.721041)",47.240681,8.721041
liestal,"(47.481766, 7.731582)",47.481766,7.731582
thonex,"(46.18815, 6.19904)",46.18815,6.19904
meilen,"(47.269867, 8.647748)",47.269867,8.647748
oftringen,"(47.312288, 7.923166)",47.312288,7.923166
amriswil,"(47.550837, 9.301025)",47.550837,9.301025
horw,"(47.01692, 8.30956)",47.01692,8.30956
ebikon,"(47.07937, 8.34041)",47.07937,8.34041
richterswil,"(47.205187, 8.706905)",47.205187,8.706905
rheinfelden,"(47.560866, 7.78799)",47.560866,7.78799
zollikon,"(47.339881, 8.578187)",47.339881,8.578187
uzwil,"(47.442872, 9.138599)",47.442872,9.138599
versoix,"(46.287715, 6.155885)",46.287715,6.155885
gland,"(46.420093, 6.270775)",46.420093,6.270775
brigue-glis,"(46.313619, 7.987174)",46.313619,7.987174
muri bei bern,"(46.930739, 7.500468)",46.930739,7.500468
ecublens,"(46.60735, 6.80895)",46.60735,6.80895
buchs,"(47.16743, 9.47794)",47.16743,9.47794
munsingen,"(48.409976, 9.496439)",48.409976,9.496439
spiez,"(46.686897, 7.677809)",46.686897,7.677809
brugg,"(47.483043, 8.204365)",47.483043,8.204365
chene-bougeries,"(46.19843, 6.18642)",46.19843,6.18642
delemont,"(47.361167, 7.349073)",47.361167,7.349073
glaris,"(47.041178, 9.070819)",47.041178,9.070819
ruti,"(47.259754, 8.849946)",47.259754,8.849946
le grand-saconnex,"(46.22642, 6.1233)",46.22642,6.1233
prilly,"(46.5392, 6.605367)",46.5392,6.605367
affoltern am albis,"(47.275948, 8.446333)",47.275948,8.446333
villars-sur-glane,"(46.788425, 7.118657)",46.788425,7.118657
arth,"(47.06339, 8.522053)",47.06339,8.522053
pfaffikon,"(47.36689, 8.785993)",47.36689,8.785993
spreitenbach,"(47.418359, 8.369214)",47.418359,8.369214
zofingue,"(47.28705, 7.943324)",47.28705,7.943324
la tour-de-peilz,"(46.453471, 6.856619)",46.453471,6.856619
munchenstein,"(47.516941, 7.617519)",47.516941,7.617519
altstatten,"(47.378546, 9.541383)",47.378546,9.541383
bassersdorf,"(47.438771, 8.625914)",47.438771,8.625914
weinfelden,"(47.566894, 9.104073)",47.566894,9.104073
worb,"(46.930005, 7.564538)",46.930005,7.564538
belp,"(46.892467, 7.500023)",46.892467,7.500023
ittigen,"(46.980255, 7.478193)",46.980255,7.478193
mannedorf,"(47.253403, 8.693113)",47.253403,8.693113
hinwil,"(47.299839, 8.839614)",47.299839,8.839614
romanshorn,"(47.565697, 9.377269)",47.565697,9.377269
risch,"(47.13351, 8.46514)",47.13351,8.46514
oberwil,"(47.516869, 7.550769)",47.516869,7.550769
mohlin,"(47.561729, 7.832329)",47.561729,7.832329
lenzbourg,"(47.388748, 8.17853)",47.388748,8.17853
le locle,"(47.056512, 6.748745)",47.056512,6.748745
davos,"(46.759179, 9.835859)",46.759179,9.835859
suhr,"(47.372772, 8.08063)",47.372772,8.08063
zollikofen,"(46.99905, 7.45809)",46.99905,7.45809
plan-les-ouates,"(46.16762, 6.11912)",46.16762,6.11912
sarnen,"(46.895035, 8.248186)",46.895035,8.248186
flawil,"(47.41568, 9.189439)",47.41568,9.189439
neuhausen am rheinfall,"(47.682077, 8.612612)",47.682077,8.612612
aigle,"(46.317669, 6.970125)",46.317669,6.970125
birsfelden,"(47.550784, 7.636283)",47.550784,7.636283
sursee,"(47.175697, 8.10871)",47.175697,8.10871
aesch,"(47.47104, 7.5973)",47.47104,7.5973
munchenbuchsee,"(47.022114, 7.451819)",47.022114,7.451819
steinhausen,"(47.195526, 8.478206)",47.195526,8.478206
payerne,"(46.820755, 6.938857)",46.820755,6.938857
urdorf,"(47.370339, 8.425088)",47.370339,8.425088
rorschach,"(47.477906, 9.495147)",47.477906,9.495147
bussigny,"(46.5511, 6.55597)",46.5511,6.55597
altdorf,"(49.385648, 11.356734)",49.385648,11.356734
arlesheim,"(47.49412, 7.61979)",47.49412,7.61979
zuchwil,"(47.20173, 7.56649)",47.20173,7.56649
crissier,"(46.55165, 6.57125)",46.55165,6.57125
morat,"(46.929269, 7.118678)",46.929269,7.118678
stans,"(46.956906, 8.36619)",46.956906,8.36619
viege,"(46.29496, 7.880608)",46.29496,7.880608
chiasso,"(45.832322, 9.029056)",45.832322,9.029056
moutier,"(47.27945, 7.370438)",47.27945,7.370438
porrentruy,"(47.417729, 7.075629)",47.417729,7.075629
zermatt,"(46.025284, 7.747965)",46.025284,7.747965
appenzell,"(47.32812, 9.40792)",47.32812,9.40792
interlaken,"(36.955382, -121.745858)",36.955382,-121.745858
saint-moritz,"(46.498322, 9.843629)",46.498322,9.843629
la neuveville,"(47.062931, 7.09602)",47.062931,7.09602
arosa,"(46.785385, 9.678935)",46.785385,9.678935
