Ville,Canton,Population,Population,Emplois,Emplois,Nuitées,Nuitées,Coordinates,Latitude,Longitude
Martigny,Valais,50,"+0020 276,",52,"+0014 208,",32,"+0050 898,","(47.39668, 8.44763)",47.39668,8.44763
Schlieren,Zurich,51,"+0019 881,",36,"+0019 754,",–,–,"(46.462626, 6.842412)",46.462626,6.842412
Vevey,Vaud,52,"+0019 752,",51,"+0014 597,",33,"+0050 548,","(37.653515, -122.344612)",37.653515,-122.344612
Baden,Argovie,53,"+0019 621,",18,"+0029 244,",38,"+0046 786,","(47.258426, 8.179858)",47.258426,8.179858
Reinach,Bâle-Campagne,54,"+0019 159,",68,"+0011 966,",–,–,"(47.30997, 8.52462)",47.30997,8.52462
Adliswil,Zurich,55,"+0019 049,",105,"+0007 667,",–,–,"(46.18391, 6.10181)",46.18391,6.10181
Onex,Genève,56,"+0018 933,",–,–,–,–,"(47.389523, 8.673712)",47.389523,8.673712
Volketswil,Zurich,57,"+0018 865,",72,"+0011 597,",–,–,"(47.114815, 9.016005)",47.114815,9.016005
Glaris Nord,Glaris,58,"+0018 832,",96,"+0008 818,",54,"+0029 027,","(46.5137, 6.663788)",46.5137,6.663788
Pully,Vaud,59,"+0018 694,",129,"+0006 287,",–,–,"(47.43163, 8.470155)",47.43163,8.470155
Regensdorf,Zurich,60,"+0018 568,",75,"+0011 313,",44,"+0041 653,","(47.349106, 7.910283)",47.349106,7.910283
Olten,Soleure,61,"+0018 496,",26,"+0022 248,",37,"+0048 077,","(47.349106, 7.910283)",47.349106,7.910283
Thalwil,Zurich,62,"+0018 278,",120,"+0006 895,",–,–,"(47.29175, 8.56351)",47.29175,8.56351
Gossau,Saint-Gall,63,"+0017 990,",57,"+0013 386,",109,"+0003 701,","(47.411712, 9.251598)",47.411712,9.251598
Muttenz,Bâle-Campagne,64,"+0017 938,",56,"+0013 399,",88,"+0012 401,","(47.523393, 7.648065)",47.523393,7.648065
Monthey,Valais,65,"+0017 820,",74,"+0011 315,",91,"+0011 922,","(46.25555, 6.954767)",46.25555,6.954767
Ostermundigen,Berne,66,"+0017 758,",121,"+0006 833,",–,–,"(46.95644, 7.493798)",46.95644,7.493798
Granges,Soleure,67,"+0017 577,",73,"+0011 318,",86,"+0012 576,","(47.192182, 7.39216)",47.192182,7.39216
Illnau-Effretikon,Zurich,68,"+0017 352,",113,"+0007 148,",104,"+0006 730,","(47.423201, 8.72281)",47.423201,8.72281
Wallisellen,Zurich,69,"+0017 218,",32,"+0020 838,",48,"+0032 519,","(47.41499, 8.59672)",47.41499,8.59672
Cham,Zoug,70,"+0017 042,",78,"+0010 872,",–,–,"(49.221966, 12.662355)",49.221966,12.662355
Wohlen,Argovie,71,"+0016 881,",101,"+0008 333,",111,"+0002 268,","(47.348103, 8.272992)",47.348103,8.272992
Sierre,Valais,72,"+0016 819,",71,"+0011 599,",62,"+0022 413,","(46.299285, 7.532625)",46.299285,7.532625
Soleure,Soleure,73,"+0016 802,",29,"+0021 589,",26,"+0072 374,","(47.2081, 7.5163)",47.2081,7.5163
Pratteln,Bâle-Campagne,74,"+0016 606,",48,"+0015 060,",39,"+0046 442,","(47.518095, 7.689088)",47.518095,7.689088
Berthoud,Berne,75,"+0016 583,",54,"+0014 065,",63,"+0022 325,","(52.143747, 10.216521)",52.143747,10.216521
Freienbach,Schwytz,76,"+0016 520,",49,"+0014 699,",56,"+0026 643,","(47.206298, 8.757769)",47.206298,8.757769
Einsiedeln,Schwytz,77,"+0016 247,",118,"+0006 988,",50,"+0032 340,","(47.129714, 8.745461)",47.129714,8.745461
Morges,Vaud,78,"+0016 101,",76,"+0010 977,",58,"+0026 288,","(46.509694, 6.498445)",46.509694,6.498445
Steffisburg,Berne,79,"+0015 991,",130,"+0006 255,",–,–,"(46.781548, 7.634219)",46.781548,7.634219
Langenthal,Berne,80,"+0015 959,",61,"+0012 869,",75,"+0017 301,","(47.216704, 7.782631)",47.216704,7.782631
Binningen,Bâle-Campagne,81,"+0015 771,",142,"+0005 587,",–,–,"(47.536714, 7.567581)",47.536714,7.567581
Lyss,Berne,82,"+0015 763,",99,"+0008 576,",99,"+0008 989,","(47.073977, 7.306518)",47.073977,7.306518
Locarno,Tessin,83,"+0015 728,",58,"+0013 197,",13,"+0267 108,","(46.170928, 8.803606)",46.170928,8.803606
Herisau,Appenzell Rhodes-Extérieures,84,"+0015 649,",85,"+0010 114,",100,"+0008 960,","(47.390936, 9.279804)",47.390936,9.279804
Schwytz,Schwytz,85,"+0015 435,",62,"+0012 836,",79,"+0015 758,","(46.730219, 7.509687)",46.730219,7.509687
Arbon,Thurgovie,86,"+0014 950,",122,"+0006 805,",64,"+0021 624,","(47.514603, 9.432618)",47.514603,9.432618
Mendrisio,Tessin,87,"+0014 902,",42,"+0016 905,",69,"+0020 325,","(45.870804, 8.979285)",45.870804,8.979285
Küsnacht,Zurich,88,"+0014 811,",127,"+0006 460,",–,–,"(47.31805, 8.58401)",47.31805,8.58401
Stäfa,Zurich,89,"+0014 791,",132,"+0006 203,",–,–,"(47.240681, 8.721041)",47.240681,8.721041
Liestal,Bâle-Campagne,90,"+0014 769,",43,"+0016 587,",77,"+0016 469,","(47.481766, 7.731582)",47.481766,7.731582
Thônex,Genève,91,"+0014 573,",135,"+0005 998,",–,–,"(46.18815, 6.19904)",46.18815,6.19904
Meilen,Zurich,92,"+0014 539,",140,"+0005 767,",–,–,"(47.269867, 8.647748)",47.269867,8.647748
Oftringen,Argovie,93,"+0014 455,",144,"+0005 456,",–,–,"(47.312288, 7.923166)",47.312288,7.923166
Amriswil,Thurgovie,94,"+0014 211,",131,"+0006 232,",113,"+0001 491,","(47.550837, 9.301025)",47.550837,9.301025
Horw,Lucerne,95,"+0014 211,",147,"+0005 207,",59,"+0025 559,","(47.01692, 8.30956)",47.01692,8.30956
Ebikon,Lucerne,96,"+0014 066,",114,"+0007 126,",–,–,"(47.07937, 8.34041)",47.07937,8.34041
Richterswil,Zurich,97,"+0013 670,",159,"+0004 228,",–,–,"(47.205187, 8.706905)",47.205187,8.706905
Rheinfelden,Argovie,98,"+0013 551,",102,"+0008 316,",98,"+0009 618,","(47.560866, 7.78799)",47.560866,7.78799
Zollikon,Zurich,99,"+0013 311,",137,"+0005 902,",–,–,"(47.339881, 8.578187)",47.339881,8.578187
Uzwil,Saint-Gall,100,"+0013 284,",116,"+0007 032,",60,"+0025 167,","(47.442872, 9.138599)",47.442872,9.138599
Versoix,Genève,101,"+0013 281,",160,"+0004 219,",90,"+0011 993,","(46.287715, 6.155885)",46.287715,6.155885
Gland,Vaud,102,"+0013 258,",112,"+0007 172,",–,–,"(46.420093, 6.270775)",46.420093,6.270775
Brigue-Glis,Valais,103,"+0013 221,",86,"+0010 073,",18,"+0131 104,","(46.313619, 7.987174)",46.313619,7.987174
Muri bei Bern,Berne,104,"+0013 182,",84,"+0010 123,",–,–,"(46.930739, 7.500468)",46.930739,7.500468
Écublens,Vaud,105,"+0013 157,",44,"+0016 562,",–,–,"(46.60735, 6.80895)",46.60735,6.80895
Buchs,Saint-Gall,106,"+0013 053,",106,"+0007 511,",96,"+0011 364,","(47.16743, 9.47794)",47.16743,9.47794
Münsingen,Berne,107,"+0012 966,",125,"+0006 782,",–,–,"(48.409976, 9.496439)",48.409976,9.496439
Spiez,Berne,108,"+0012 926,",136,"+0005 968,",21,"+0092 759,","(46.686897, 7.677809)",46.686897,7.677809
Brugg,Argovie,109,"+0012 738,",87,"+0009 911,",65,"+0021 247,","(47.483043, 8.204365)",47.483043,8.204365
Chêne-Bougeries,Genève,110,"+0012 621,",148,"+0005 070,",–,–,"(46.19843, 6.18642)",46.19843,6.18642
Delémont,Jura,111,"+0012 618,",59,"+0013 191,",57,"+0026 403,","(47.361167, 7.349073)",47.361167,7.349073
Glaris,Glaris,112,"+0012 539,",95,"+0008 845,",83,"+0014 683,","(47.041178, 9.070819)",47.041178,9.070819
Rüti,Zurich,113,"+0012 494,",150,"+0005 063,",–,–,"(47.259754, 8.849946)",47.259754,8.849946
Le Grand-Saconnex,Genève,114,"+0012 378,",64,"+0012 572,",30,"+0055 577,","(46.22642, 6.1233)",46.22642,6.1233
Prilly,Vaud,115,"+0012 360,",126,"+0006 763,",–,–,"(46.5392, 6.605367)",46.5392,6.605367
Affoltern am Albis,Zurich,116,"+0012 289,",117,"+0006 994,",76,"+0017 046,","(47.275948, 8.446333)",47.275948,8.446333
Villars-sur-Glâne,Fribourg,117,"+0012 219,",89,"+0009 889,",–,–,"(46.788425, 7.118657)",46.788425,7.118657
Arth,Schwytz,118,"+0012 184,",161,"+0004 128,",110,"+0003 585,","(47.06339, 8.522053)",47.06339,8.522053
Pfäffikon,Zurich,119,"+0012 174,",139,"+0005 797,",–,–,"(47.36689, 8.785993)",47.36689,8.785993
Spreitenbach,Argovie,120,"+0012 126,",98,"+0008 606,",45,"+0040 724,","(47.418359, 8.369214)",47.418359,8.369214
Zofingue,Argovie,121,"+0012 104,",80,"+0010 767,",101,"+0008 727,","(47.28705, 7.943324)",47.28705,7.943324
La Tour-de-Peilz,Vaud,122,"+0012 068,",164,"+0003 562,",74,"+0018 183,","(46.453471, 6.856619)",46.453471,6.856619
